,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6548SDSS [1e-17*erg/cm^2/s],N6584SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6548SDSS_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,LOG_OH+12_T04_med,LOG_OH+12_T04_avg,Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,Dn4000SDSSindx ,D4000SDSSindx ,Dn4000SDSSindx_err,D4000SDSSindx_err,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,PETRO_MASS,MODEL_MASS,FIBER_MASS,U_PETRO_ABSMAG,G_PETRO_ABSMAG,R_PETRO_ABSMAG,I_PETRO_ABSMAG,Z_PETRO_ABSMAG,SFR_flag_all,totalSFR_Avg,totalSFR_Med,sSFR_avg_all ,sSFR_med_all ,sSFR_flag_all,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all
0,170.86243,-0.7135721,0.040783953,1786.3784,153.9548,51.940166,497.87082,130.51161,189.65456,572.04193,406.5392,310.14575,380.55212,323.94934,40.583874,15.363735,4.557722,3.7607832,6.3900347,4.2761593,2.0077527,6.0558386,5.7970004,5.270122,9.166777,8.906784,3.1885436,8.950005,8.96001,10.27914,10.260388,1.2129507,1.3594347,1.2129507,0.00505558,6.434447,0.034390144,2.8311462,0.009270041,7.18333,0.057846073,21180443000.0,20597285000.0,3497254100.0,-19.173395,-20.294823,-20.845583,-21.112177,-21.298878,0.0,0.3935901,0.3935901,-9.91619,-9.987387,0,-0.11538787,-0.16120918,-9.658669,-9.677973
1,194.85744,-2.248459,0.047412734,604.04834,29.565199,12.1277275,97.46541,17.377388,157.60153,475.3626,89.77892,75.029305,40.515446,49.896336,23.233978,6.250317,3.553311,3.454079,3.3974235,3.6330428,1.77472,5.3529596,3.38226,3.3649251,7.4692297,7.817921,2.9366875,-99.9,-99.9,10.506907,10.485986,1.1792264,1.3007845,1.1792264,0.006708698,8.353609,0.06638361,3.5777874,0.016872551,8.858759,0.0937792,28602851000.0,28827605000.0,4248117800.0,-19.453987,-20.625687,-21.18874,-21.452806,-21.670921,0.0,1.1151601,1.1151601,-9.43488,-9.473312,0,0.9336151,0.92872703,-8.811277,-8.814051
2,121.68041,45.66057,0.03425921,1142.3121,67.04372,25.24435,264.8039,65.17416,222.68611,671.67267,140.96864,145.31726,171.19875,90.61459,17.255672,12.194876,4.078231,3.7034087,5.4062037,4.3453445,2.5203784,7.602035,4.826979,4.675019,8.547088,7.8682485,3.4294398,-99.9,-99.9,10.044665,10.032765,1.3158287,1.4734671,1.3158287,0.011069736,4.966561,0.06452496,2.0507019,0.013454637,6.196133,0.09237949,10783330000.0,11684344000.0,2996524000.0,-17.924112,-19.238478,-19.900522,-20.199064,-20.427517,0.0,-0.024479903,-0.024479903,-10.101339,-10.135715,0,-0.2523701,-0.2340486,-9.775115,-9.755755
3,160.74612,65.14625,0.042568948,488.91367,30.150215,6.587791,91.127106,13.719441,123.86494,373.60526,72.44855,78.71086,58.791862,26.958315,19.961332,5.421458,2.603471,2.4045973,2.804996,2.655951,1.5427097,4.653164,2.9344475,2.9882457,5.624605,5.5570493,2.5248716,-99.9,-99.9,10.0836525,10.0699005,1.2837607,1.4341711,1.2837607,0.010462441,4.607538,0.05698819,2.0227182,0.011593838,4.8239574,0.06687805,9347287000.0,10710148000.0,3135865900.0,-17.932993,-19.303183,-19.924921,-20.201809,-20.460398,0.0,0.34776008,0.34776008,-9.77316,-9.80594,0,0.19830368,0.20688808,-9.348495,-9.338892
4,213.96153,1.8826298,0.02558481,484.53177,138.42181,37.889744,117.668495,27.761946,100.499535,303.1298,101.488846,83.86957,85.66924,98.98616,8.8364105,6.910598,5.3043227,4.4423375,4.4587927,4.4273953,1.8304379,5.521017,4.4757085,4.3469586,11.17334,10.236516,3.4380944,-99.9,-99.9,10.060293,10.048553,1.3354205,1.5079019,1.3354205,0.011664233,8.988586,0.122001916,4.022663,0.022637611,10.634166,0.1655247,11526388000.0,12219090000.0,1385936500.0,-18.028564,-19.549454,-20.142008,-20.413507,-20.621853,0.0,-0.3870799,-0.3870799,-10.483,-10.48647,0,-0.78419256,-0.75916284,-9.914913,-9.886329
5,173.69272,2.9210336,0.028752625,5056.4375,582.50775,194.50722,1376.9236,398.02258,878.7257,2650.4397,630.65106,566.271,614.5482,458.46423,81.82576,26.81072,7.232353,5.3617883,10.508924,6.427591,4.5005865,13.574793,7.140937,6.849336,14.229919,13.376051,4.132649,-99.9,-99.9,10.145255,10.124659,1.0830927,1.1271547,1.0830927,0.00302264,9.20084,0.23456864,3.9812498,0.018096605,11.219459,0.120665565,15745174000.0,15480202000.0,2713731300.0,-19.141287,-20.04811,-20.55581,-20.787642,-20.956747,0.0,0.4296501,0.4296501,-9.75439,-9.79735,0,0.093413614,0.10905701,-9.257706,-9.239325
6,121.92081,39.004246,0.023345275,4484.5957,2533.271,762.65137,1124.2345,203.59848,1798.5438,5424.823,1057.4882,1089.0718,2827.4707,-9.628158,437.54614,45.429897,34.368057,26.052464,20.35288,14.398623,14.780445,44.58119,31.048468,30.725918,778.8866,296.7294,23.513184,-99.9,-99.9,10.359663,10.348131,1.259163,1.4476808,1.259163,0.004637266,10.705958,0.50220007,3.5798934,0.03355784,13.505131,0.19228134,31035412000.0,28312152000.0,5365928400.0,-19.220425,-20.530128,-21.156685,-21.412994,-21.589277,0.0,0.099680096,0.099680096,-10.29599,-10.3103075,0,-0.073602,-0.069128014,-9.742733,-9.737118
7,143.09238,55.919205,0.049193073,690.8153,70.38698,21.259253,178.57669,41.47648,98.18733,296.15564,139.67105,100.227,95.26062,128.43695,20.739851,5.1906915,2.3736503,2.0663836,2.8556993,2.297829,1.0983304,3.3128145,2.711661,2.44398,4.7170177,4.939641,1.9202465,9.009994,9.019983,10.208338,10.197538,1.2846603,1.4100076,1.2846603,0.007045615,5.1194825,0.08675486,2.266503,0.014135186,5.749184,0.09154651,14473051000.0,17170728000.0,3891166700.0,-18.333654,-19.70063,-20.328997,-20.594109,-20.851097,0.0,0.1250601,0.1250601,-10.1182995,-10.160124,0,-0.10642435,-0.12667182,-9.71678,-9.741398
8,150.03378,2.7651594,0.028877087,1732.6428,54.990803,28.838911,441.83603,117.42685,295.17783,890.32446,210.22762,185.44563,136.27722,103.87078,24.969107,12.330224,3.3465245,3.1886027,5.292368,3.8593397,2.305246,6.953147,4.314205,4.2420726,7.956527,7.7042246,2.9570155,9.250005,9.260027,10.136724,10.13382,1.1296427,1.1797633,1.1296427,0.0041925986,6.166751,0.20175086,2.7877448,0.009109238,6.669607,0.054905877,11381471000.0,12664956000.0,2212204500.0,-18.448465,-19.529745,-20.11015,-20.391436,-20.621098,0.0,0.2680301,0.2680301,-9.90573,-9.969663,0,-0.12591569,-0.1358246,-9.599589,-9.614485
9,133.77354,51.63521,0.047764063,1789.2607,114.75844,41.65041,300.75714,54.637157,257.31662,776.12634,311.62537,235.73761,157.555,129.57085,50.292606,9.567537,2.760209,2.4332333,3.3115788,2.3940897,1.6898916,5.0970974,3.717071,3.3983107,5.102115,5.0221004,2.4223251,9.046431,9.050513,10.51632,10.502591,1.2488084,1.4581655,1.2488084,0.006828076,5.6679916,0.30780742,2.4958234,0.30061892,7.7704325,2.2414637,20731396000.0,23602220000.0,6108194300.0,-18.682484,-20.105223,-20.733978,-21.062347,-21.278719,0.0,0.9544901,0.9544901,-9.59852,-9.630856,0,0.9403461,0.91286933,-9.03515,-9.057621
