,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6548SDSS [1e-17*erg/cm^2/s],N6584SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6548SDSS_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,LOG_OH+12_T04_med,LOG_OH+12_T04_avg,Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,Dn4000SDSSindx ,D4000SDSSindx ,Dn4000SDSSindx_err,D4000SDSSindx_err,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,PETRO_MASS,MODEL_MASS,FIBER_MASS,U_PETRO_ABSMAG,G_PETRO_ABSMAG,R_PETRO_ABSMAG,I_PETRO_ABSMAG,Z_PETRO_ABSMAG,SFR_flag_all,totalSFR_Avg,totalSFR_Med,sSFR_avg_all ,sSFR_med_all ,sSFR_flag_all,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all
0,41.280598,0.9501264,0.02450697,46.55981,13.247038,5.601801,9.563448,5.9156637,7.782583,23.474068,12.262475,10.715031,5124.613,-24.513441,0.35339302,2.688869,2.6814926,2.623132,2.3026052,2.7200813,0.8688692,2.6207075,2.513472,2.5697093,80472.69,88.95832,2.3076553,-99.9,-99.9,10.228438,10.218943,1.5724933,1.6918365,1.5724933,0.019138925,17.902792,0.19439529,7.622121,0.04413745,17.47659,0.20025742,8996411000.0,19320967000.0,945664640.0,-18.516912,-19.763441,-20.294302,-20.481062,-20.474344,0.0,-0.48115993,-0.48115993,-10.75828,-10.68547,0,-1.7954129,-1.8492802,-10.797967,-10.849052
1,49.782158,0.9559805,0.02388305,1979.8763,136.2906,43.80565,499.22217,109.90836,242.16026,730.4112,313.34863,246.41895,361.24225,304.12454,28.23669,17.960592,4.908488,4.228063,8.051498,5.8836236,2.4533603,7.3998938,5.7461014,5.333978,15.07956,14.557884,3.1512895,9.063537,9.072196,9.798166,9.762326,1.1043304,1.1622059,1.1043304,0.008581585,11.734809,0.16346325,5.1722326,0.016046409,10.656389,0.06302237,8445347000.0,8195586600.0,683597900.0,-19.113527,-19.874256,-20.284563,-20.41612,-20.497051,0.0,0.2425501,0.2425501,-9.589459,-9.653704,0,-0.43569818,-0.46817714,-9.24584,-9.262298
2,49.792713,0.9812785,0.037347622,49.10808,33.31801,8.658458,19.727318,12.345029,15.296176,46.136795,38.153984,25.184769,39.603264,50.735367,7.0055575,6.784721,5.9769816,5.877903,5.6681967,6.1843185,2.226731,6.716327,6.537798,6.4331427,12.255948,11.93095,6.0537333,-99.9,-99.9,10.689495,10.680469,1.884335,2.0479033,1.884335,0.021612553,10.085812,0.07871659,3.8877258,0.022831285,11.863192,0.12489998,42272977000.0,44088824000.0,5750905000.0,-18.518595,-20.445583,-21.19605,-21.52663,-21.77511,0.0,-1.3234099,-1.3234099,-12.04822,-11.978621,0,-2.1623895,-2.0304828,-12.218485,-12.079645
3,53.177746,1.020308,0.03656489,13.721259,9.850105,5.4738894,10.439954,-2.796677,0.15675956,0.47282305,-0.8536847,2.3966439,-6.5604534,6.7237167,2.507177,4.560017,4.5080123,4.385437,4.3263764,4.1454396,1.3999344,4.222521,4.2873244,4.5604343,6.7259517,6.5835004,4.3839593,-99.9,-99.9,10.56262,10.550159,1.8265015,1.9946567,1.8265015,0.013731228,5.7251973,0.07121943,2.505088,0.010968784,7.4260716,0.07901482,33487036000.0,38372560000.0,7118018600.0,-18.797293,-20.384575,-21.085636,-21.39391,-21.659159,0.0,-1.11838,-1.11838,-11.70032,-11.633557,0,-2.0960474,-1.9490569,-12.118912,-11.964059
4,53.565945,1.0225384,0.047108103,440.53375,26.220901,12.495523,98.72609,19.224865,54.89173,165.56613,48.832035,36.097733,31.663733,39.16537,13.558038,5.527225,3.017164,2.8772078,3.2918868,3.3660011,1.2314285,3.714269,2.7616832,2.7384617,6.2994256,6.666786,2.5242624,9.163847,9.176691,10.520976,10.506402,1.3006755,1.4620557,1.3006755,0.013208194,11.656874,0.14726219,5.576272,0.026254153,12.558304,0.1731175,24959556000.0,40414114000.0,3377622800.0,-19.739603,-20.850607,-21.34746,-21.547222,-21.578285,0.0,0.4303101,0.4303101,-10.13102,-10.16895,0,0.010735684,-0.018188464,-9.68689,-9.711748
5,56.847435,0.8754815,0.0393708,27.740791,3.5413687,14.831802,12.857573,13.841022,12.114858,36.541206,6.1209755,-0.03212245,50.28881,-53.905396,1.024094,5.0422554,7.8346386,8.27459,5.505059,7.213566,2.3481028,7.0824122,6.4796214,6.506535,28.09507,27.468624,6.592995,-99.9,-99.9,10.8148,10.803722,1.7624522,1.9901979,1.7624522,0.044241957,14.6133795,0.24426498,6.3742223,0.027371202,13.079653,0.1186356,47698050000.0,66238570000.0,2333312800.0,-18.829567,-20.792818,-21.47596,-21.756357,-22.000214,0.0,-0.80218995,-0.80218995,-11.64489,-11.531782,0,-2.2086842,-2.047912,-11.976517,-11.797691
6,240.13693,-0.1662719,0.024222014,47.82265,10.288246,8.221836,10.079779,6.2791686,4.8377185,14.591676,13.101618,11.444564,17.92564,26.755932,4.1475816,1.6586245,1.9047273,1.9504017,2.0301373,2.891839,0.43906826,1.3243299,1.4710456,1.4372795,6.297794,6.0298166,1.3324491,-99.9,-99.9,9.513223,9.492785,1.3896637,1.6266661,1.3896637,0.03376773,23.544008,1.4842974,9.446517,1.0066887,20.272285,5.0380087,1743620600.0,3238165500.0,384938780.0,-18.02292,-19.554544,-20.008644,-19.929865,-18.680456,0.0,-1.17096,-1.17096,-10.7081995,-10.693749,0,-1.9994428,-2.047796,-10.578547,-10.62318
7,245.38187,-0.07236377,0.027287059,777.0163,1623.991,563.6801,184.89061,34.927,285.00876,859.6522,330.81787,361.5407,362.90466,156.28531,144.9379,8.988854,13.342483,7.8813415,5.0793943,4.151869,2.9784584,8.983708,7.113552,7.374546,10.478946,9.484919,5.7687483,-99.9,-99.9,10.360689,10.350078,1.6373799,1.8540571,1.6373799,0.008097737,8.50028,0.14858994,3.2366154,0.022754915,11.350287,0.13513407,24144044000.0,24060211000.0,4384756700.0,-18.438253,-20.019043,-20.713026,-21.021097,-21.204891,0.0,-0.8853699,-0.8853699,-11.293779,-11.210638,0,-1.8313936,-1.6384332,-11.614959,-11.412792
8,248.06416,-0.04992955,0.04402316,832.59174,446.9195,149.33525,174.72214,40.657352,138.44022,417.56763,119.42963,96.318085,92.840836,71.24827,31.534306,7.9212236,6.81634,4.9252324,4.5523157,4.1890197,1.9489005,5.8783274,4.2859726,4.153151,8.796147,8.3940525,3.7971835,-99.9,-99.9,10.506073,10.49011,1.3294786,1.528042,1.3294786,0.007694976,7.037982,0.1139727,3.435485,0.014385061,8.839426,0.110517934,28803518000.0,34538720000.0,5318579000.0,-19.690466,-20.833641,-21.353342,-21.578657,-21.784618,0.0,0.6295401,0.6295401,-9.91434,-9.953684,0,0.005954924,0.0385142,-9.749778,-9.716472
9,243.15462,0.37996975,0.043144688,42.521477,17.789553,5.02102,17.10966,16.174383,10.386693,31.328665,-1.7242286,5.123458,82.51326,-53.574863,6.810345,5.8615785,6.938416,7.0584173,5.1496344,5.8950605,2.5181835,7.595415,7.212896,7.238459,26.85153,26.115095,6.806441,-99.9,-99.9,10.784767,10.77386,1.8548017,2.014189,1.8548017,0.015649142,9.478722,0.30523083,3.6048613,1.6583309,11.83067,-1000.0,39785280000.0,56905175000.0,6969561600.0,-18.97849,-20.820444,-21.538532,-21.83337,-22.078304,0.0,-0.94281995,-0.94281995,-11.7517395,-11.700769,0,-1.9962217,-1.8546385,-12.170783,-12.02468
10,172.7413,-1.1475517,0.047959067,111.787094,80.31478,25.00358,29.852118,1.5426933,50.940594,153.64859,62.462563,43.231213,51.67147,55.149387,16.594414,4.6783986,4.2064085,3.9795303,3.1747212,2.7516491,1.6620578,5.013145,4.231831,4.1876903,6.7617583,6.870162,3.835875,-99.9,-99.9,10.655992,10.648445,1.8094499,2.1290646,1.8094499,0.016802592,8.254473,0.04380341,3.7382033,0.010746316,8.940145,0.06972769,46293680000.0,48431180000.0,7500351000.0,-19.302221,-20.80156,-21.475744,-21.770954,-21.982151,0.0,-0.7790799,-0.7790799,-11.46244,-11.351667,0,-1.9868327,-1.8397413,-12.038524,-11.884861
11,191.50575,-1.0731986,0.04741072,25.902134,19.547388,-1.4929354,9.014644,4.2714963,7.875826,23.75531,9.511848,-1.3164283,16.515158,14.690702,-3.8010898,4.590782,4.2211876,3.9454641,3.6886363,3.7790709,1.3776354,4.1552615,3.7777076,3.809004,9.833591,9.842459,3.577557,-99.9,-99.9,10.527518,10.5196705,1.9302198,2.1366813,1.9302198,0.02407578,6.4443965,0.13177945,2.6610758,0.018782549,8.215866,0.12238804,26414682000.0,29734726000.0,6521767400.0,-18.201286,-19.91557,-20.678286,-21.030716,-21.250908,0.0,-1.55116,-1.55116,-12.11468,-12.051087,0,-2.3297477,-2.2105496,-12.279643,-12.149079
12,204.22339,-1.0956106,0.046851676,2047.6105,429.5328,138.20093,519.38605,112.9055,250.39687,755.2547,320.54684,242.40474,378.02072,411.12585,42.780003,11.872584,5.2851257,3.6552627,5.3417406,4.0283356,1.7961233,5.417517,3.8491733,3.472736,9.299545,9.4979725,2.3703454,8.987337,8.991593,9.86531,9.840253,1.1847736,1.3705825,1.1847736,0.0072523197,5.0334573,0.13246661,2.106281,0.014076849,6.2130995,0.0947481,9572884000.0,10408499000.0,2385075500.0,-18.975216,-20.042439,-20.476555,-20.643772,-20.80867,0.0,0.49586013,0.49586013,-9.406819,-9.4326315,0,0.38902697,0.3770454,-8.87337,-8.88067
13,170.86243,-0.7135721,0.040783953,1786.3784,153.9548,51.940166,497.87082,130.51161,189.65456,572.04193,406.5392,310.14575,380.55212,323.94934,40.583874,15.363735,4.557722,3.7607832,6.3900347,4.2761593,2.0077527,6.0558386,5.7970004,5.270122,9.166777,8.906784,3.1885436,8.950005,8.96001,10.27914,10.260388,1.2129507,1.3594347,1.2129507,0.00505558,6.434447,0.034390144,2.8311462,0.009270041,7.18333,0.057846073,21180443000.0,20597285000.0,3497254100.0,-19.173395,-20.294823,-20.845583,-21.112177,-21.298878,0.0,0.3935901,0.3935901,-9.91619,-9.987387,0,-0.11538787,-0.16120918,-9.658669,-9.677973
