,Objra,Objdec,mangaid,plateifu,nsa_z,SDSS_RA_deg,SDSS_DEC_deg,SDSS_z,DR16_match_sep2d_deg,DR16_match_sep2d_arcsec
8,132.912768243,57.1074235568,1-48136,10001-3702,0.0256063,132.91273498535156,57.1074333190918,0.025606319308280945,2.0530589640716063e-05,0.07391012270657783
15,133.87809679,57.5645448676,1-48189,10001-9101,0.0400858,133.87823486328122,57.56458282470703,0.04008831456303597,8.321629541310255e-05,0.29957866348716916
247,117.094733328,18.5028826591,1-297825,10216-3703,0.0465506,117.0947265625,18.502893447875977,0.046550635248422616,1.2552285134454961e-05,0.04518822648403786
249,117.700436207,16.3893864476,1-412105,10216-6101,0.0408673,117.70043182373048,16.389379501342773,0.04086727276444435,8.119967246050886e-06,0.029231882085783187
249,117.700436207,16.3893864476,1-412105,10216-6101,0.0408673,117.70043182373048,16.389379501342773,0.04086727276444435,8.119967246050886e-06,0.029231882085783187
259,119.505587809,14.7026287414,1-459018,10217-12705,0.0472856,119.50557708740234,14.702630043029785,0.04728556051850319,1.0451896925876436e-05,0.037626828933155165
268,117.993013365,15.7114103805,1-412058,10217-6103,0.0470016,117.99299621582031,15.711414337158205,0.04700159281492233,1.6975984077608422e-05,0.06111354267939032
292,124.83882348,21.90942806,1-383825,10219-12704,0.0407711,124.8388214111328,21.909448623657227,0.04077107086777687,2.065304479336248e-05,0.07435096125610494
614,122.414897071,57.5246917727,1-584800,10492-3701,0.0252342,122.41488647460938,57.52466201782226,0.025234151631593704,3.0293962256052057e-05,0.1090582641217874
621,122.985123942,56.9790067546,1-380032,10492-6104,0.0271887,122.985107421875,56.97900772094727,0.027188701555132862,9.054296552636895e-06,0.032595467589492826
629,123.971469333,51.7625693845,1-352045,10493-1901,0.0315512,123.9714584350586,51.76258850097656,0.03155115619301796,2.0271514573864804e-05,0.07297745246591329
678,125.4594,41.876266,1-122711,10496-12704,0.0380598,125.45939636230469,41.87626647949219,0.03805981203913689,2.7506988064492166e-06,0.00990251570321718
747,137.223188476,32.2530361675,1-300469,10500-12705,0.0496944,137.22319030761722,32.25301742553711,0.04969441518187523,1.8805865246385415e-05,0.06770111488698749
871,177.396591297,47.8312219274,1-280716,10507-3703,0.0249741,177.3965606689453,47.83120346069336,0.02497405745089054,2.7636558811383334e-05,0.09949161172098
919,178.939510285,54.6758837523,1-189075,10510-3701,0.0497158,178.9394989013672,54.67590713500977,0.04971584305167198,2.4291442860403458e-05,0.08744919429745245
1021,150.955434487,2.27135412334,1-60689,10516-3701,0.0444182,150.95541381835938,2.2713336944580083,0.04441815614700317,2.9049284554367058e-05,0.1045774243957214
1064,153.761128184,5.67693109095,1-182839,10518-9102,0.0286522,153.76112365722656,5.676918029785156,0.028652152046561238,1.3816120816951087e-05,0.04973803494102391
1159,134.522081756,3.75649240107,1-76813,10840-3703,0.026876222,134.52207946777344,3.756462812423706,0.02687622234225273,2.967661530144825e-05,0.1068358150852137
1243,148.617712893,2.39416041011,1-60446,10845-3702,0.032925736,148.6177215576172,2.3941445350646973,0.032925736159086234,1.8082080752697458e-05,0.06509549070971085
1294,193.203764794,27.4018304834,1-455937,11006-3702,0.025779508,193.2037353515625,27.40185356140137,0.02577950805425644,3.486892838784284e-05,0.1255281421962342
1317,194.979559184,28.1283812917,1-456880,11007-6104,0.025233487,194.97955322265625,28.128360748291016,0.025233486667275432,2.120543669803401e-05,0.07633957211292244
1356,216.511041569,49.5217324906,1-197402,11011-12703,0.026634429,216.5110015869141,49.521728515625,0.02663442865014076,2.62573748754934e-05,0.09452654955177624
1594,125.255644465,38.697230604,1-154037,11742-12703,0.029351829,125.25563049316406,38.6972541809082,0.02935182861983776,2.59764889989223e-05,0.09351536039612028
1642,121.9207632,14.9432527135,1-459275,11744-9102,0.028708013,121.9207534790039,14.94325065612793,0.02870801277458668,9.614942119752703e-06,0.03461379163110973
1837,248.760774404,26.1807342187,1-270207,11757-3701,0.042408355,248.7607879638672,26.18072509765625,0.04240835458040237,1.5207600627366177e-05,0.054747362258518235
1852,202.20397413,53.4429206757,1-195979,11758-1901,0.025356574,202.2039794921875,53.44290542602539,0.02535657398402691,1.5580539721925694e-05,0.056089942998932496
1887,192.768551758,48.4085748066,1-283903,11760-1902,0.049425263,192.7685089111328,48.40855407714844,0.04942526295781136,3.519486455642531e-05,0.1267015124031311
1940,224.641891856,5.50957024175,1-368816,11824-3702,0.045303676,224.6418914794922,5.509571075439453,0.04530367627739906,9.140511296622147e-07,0.003290584066783973
1940,224.641891856,5.50957024175,1-368816,11824-3702,0.045303676,224.6418914794922,5.509571075439453,0.04530367627739906,9.140511296622147e-07,0.003290584066783973
1964,187.893659749,37.9805527322,1-620558,11826-9101,0.02376603,187.8936462402344,37.98055648803711,0.023766029626131058,1.1290861124688909e-05,0.04064710004888007
1972,214.930148646,49.2366458158,1-320796,11827-1902,0.02552837,214.93011474609366,49.23664855957031,0.025528369471430785,2.2303888286026298e-05,0.08029399782969467
2087,221.405591971,3.43339494266,1-82991,11835-12703,0.027615206,221.4055938720703,3.433419942855835,0.027615206316113472,2.5072113947648514e-05,0.09025961021153465
2087,221.405591971,3.43339494266,1-82991,11835-12703,0.027615206,221.4055938720703,3.433419942855835,0.027615206316113472,2.5072113947648514e-05,0.09025961021153465
2234,192.556092122,26.7760821012,1-455687,11871-6101,0.023638437,192.55609130859366,26.776092529296875,0.023638436570763588,1.0453351300981436e-05,0.037632064683533174
2527,197.848863604,53.1993191856,1-195717,11954-9101,0.029950138,197.84890747070312,53.19931411743164,0.029950138181447983,2.6761896053680806e-05,0.0963428257932509
2528,197.0953699,52.6233522281,1-152334,11954-9102,0.02421127,197.0953063964844,52.62329483032226,0.02421127073466777,6.914191530584466e-05,0.24891089510104078
2545,197.010464453,53.935876658,1-195251,11955-9102,0.03288055,197.0105133056641,53.93588256835938,0.032880548387765884,2.9360134131525094e-05,0.10569648287349034
2573,186.780073597,51.8871267424,1-151264,11957-3704,0.030194642,186.78009033203125,51.88715362548828,0.030194642022252083,2.8799134135931064e-05,0.10367688288935183
2574,185.283260983,51.8964048359,1-150898,11957-6101,0.047674395,185.2832489013672,51.89641571044922,0.04767439514398575,1.3184792683671587e-05,0.04746525366121771
2642,233.40266786,7.91227283422,1-335823,11963-6101,0.04277354,233.4026641845703,7.91222620010376,0.0427735410630703,4.677599384023804e-05,0.16839357782485692
2642,233.40266786,7.91227283422,1-335823,11963-6101,0.04277354,233.4026641845703,7.91222620010376,0.0427735410630703,4.677599384023804e-05,0.16839357782485692
